genes,logFC,logCPM,LR,PValue,FDR,bnumber
ade,0.0971674377367194,4.3028238740765,0.175665917200377,0.675124648616479,0.859596907165889,b3665
adhE,-2.86812095742049,12.3150129774542,164.098086410281,1.43990618479283e-37,5.75829149270394e-36,b1241
adhP,2.34380168088717,6.15111605718385,124.228936406886,7.50636500973369e-29,2.06496754630827e-27,b1478
adiA,-0.900243079712023,5.13223690987239,11.724363889124,0.000616871307259578,0.00376841184731841,b4117
adiC,-2.87117887486209,6.04481609013644,62.5981828063737,2.53487252253947e-15,4.39683310234859e-14,b4115
adiY,-4.08814008942599,6.72230974655209,243.666775034535,6.24035922895664e-55,5.08530405846486e-53,b4116
adk,-0.142620940810561,9.37439413403419,0.417201885818258,0.518336561233354,0.764247756650145,b0474
aegA,-0.998959386998775,5.00313858196861,15.8642387306721,6.80525632614518e-05,0.00048662089524207,b2468
aer,1.39955943517207,5.35127103709898,30.4103068502143,3.49665351134175e-08,3.83300672981853e-07,b3072
aes,-0.234570329528908,3.45122203823452,0.545154902617922,0.460304184311181,0.717150433269089,b0476
afuB,-0.328681450989211,1.46069116538995,0.385032621660874,0.53492209277752,0.77553827415445,b0263
afuC,0.694265157670294,3.68381030127791,4.88052577031631,0.0271613445308689,0.105589421268067,b0262
agaA,-0.402957975868712,2.04596227703209,0.71230471187643,0.398679763546938,0.660956933433907,b3135
agaB,-0.00778575349870243,0.859110928380481,0.000214742687791869,0.988308137200356,1,b3138
agaC,-0.398184935489768,1.54790865510313,0.534913997927781,0.464548207798698,0.720166442743207,b3139
agaD,0.459193989468749,1.80265450309063,0.729790274655629,0.392951177081162,0.655019735165395,b3140
agaI,-0.0833872306807753,1.98258909697234,0.0319358114566275,0.858168608196941,0.948663992526897,b3141
agaR,-0.462039610636435,6.72257646662022,7.14322691869415,0.00752476344014838,0.0367700822408482,b3131
agaS,-0.361462346386278,2.75135736408015,0.842934077587017,0.358558969277324,0.620936723459809,b3136
agaV,0.199912528396158,1.40353562964376,0.115363388072476,0.734118716438636,0.887890993082742,b3133
agp,-0.0327409269610265,5.75554369355239,0.0305866702103739,0.861165712826549,0.950599441678813,b1002
ahpC,2.08872934050986,12.6129823454054,80.741003256636,2.57326921439005e-19,5.19343445651898e-18,b0605
ahpF,1.28524713820834,10.1243218102952,39.9144280048154,2.65335993931206e-10,3.63805129456787e-09,b0606
aidB,-0.413182003702743,6.57879446471815,3.34123383361355,0.0675639277759134,0.211149496428488,b4187
ais,0.722927921156948,2.15610623153212,1.78040454270271,0.1820996587715,0.411558569457931,b2252
alaS,-0.0667690455830894,10.5760138458493,0.0980685475931793,0.754159880291836,0.895021188032275,b2697
aldA,1.32971392854079,5.41609912197553,30.89865533807,2.71860075379327e-08,3.04977575470991e-07,b1415
aldB,-0.038136193526437,4.59439347392304,0.0422754596776385,0.83709558915535,0.939557133462048,b3588
alkA,0.202137080586204,4.00676466878132,0.633284814739498,0.426152976181021,0.687833033679545,b2068
alkB,-0.20188799090993,3.63737445024703,0.582421579341961,0.445364701475757,0.704847983024476,b2212
allA,-0.440192941676584,3.30229113110924,2.36810533748587,0.123837269262269,0.31685614096193,b0505
allB,-0.00593236727906509,2.87979543453006,0.000385211377838424,0.9843410826162,1,b0512
allC,-0.31488241613596,3.40348942285447,0.605477359521364,0.436495763723849,0.697823534712477,b0516
allD,-0.0174550363490361,1.93908035203492,0.000683986292995264,0.97913519863876,1,b0517
allR,-0.0961700311780175,7.59590232335706,0.283883400815963,0.594167121737084,0.814152220425909,b0506
alpA,-0.188994835081652,0.352630722089798,0.061760098385669,0.803735353767929,0.924782967743564,b2624
alr,-0.194924671208449,6.55342254815764,0.998594646619704,0.317650801354874,0.581383367813817,b4053
alsA,-0.342894776949444,2.71622048631724,0.554056787645208,0.456664814352574,0.713838339916311,b4087
alsB,-0.284109535050838,2.98002637139854,0.562956629367001,0.453071418610503,0.711310598683664,b4088
alsB,-0.284109535050838,2.98002637139854,0.562956629367001,0.453071418610503,0.711310598683664,b0889
alsC,0.0246518626295991,2.45858735637987,0.00235049700667389,0.961332169631366,0.995670268299907,b4086
alsE,-0.412838459065978,2.62383800607917,1.5591955798003,0.211783041724072,0.455977545965239,b4085
alsK,-0.108750816012624,3.53319891969479,0.214266555806783,0.643443677442137,0.844826984476941,b4084
alx,0.348621661916048,2.85267739265391,1.20488661667271,0.272347184003089,0.534971328528084,b3088
amiA,0.569766852127766,6.58303631446124,11.2380231540173,0.000801384657984091,0.00483405075116381,b2435
amiB,0.156812061909099,6.68626239651535,0.933015733399724,0.334080512801381,0.598214649580913,b4169
amiC,0.540814920863971,7.30474495295335,3.87027702397774,0.0491484085846406,0.167671387580618,b2817
amn,0.535575042082973,8.02688686784224,7.41774338531916,0.00645837644988114,0.0323218167868327,b1982
ampC,-0.152198162519327,4.85141534732341,0.570248436106305,0.450160211385365,0.708284864471181,b4150
ampD,-0.398774774861196,5.20050397588495,4.07653865491064,0.0434826469780798,0.153010456249283,b0110
ampE,-0.144129592290556,5.36034772779941,0.562366248957921,0.45330841300288,0.71142406822654,b0111
ampG,0.341523792896591,5.9996114177807,2.69563225609628,0.100623566560489,0.278406908375882,b0433
ampH,-0.122866289269755,5.67717045492995,0.386592521802244,0.534095977164367,0.775128830609051,b0376
amtB,-0.0110859523104626,4.63275226526134,0.00305325088019037,0.955934332789424,0.994324555796806,b0451
amyA,0.330366855082427,7.30131427254248,3.0308929456259,0.0816930459284451,0.243837087328925,b1927
ansA,0.0630329709432931,6.06404232934851,0.122851065483277,0.725962617258725,0.883483933081545,b1767
ansB,-2.12487500871437,5.62087965877871,108.786295907328,1.80760948991472e-25,4.46118022110953e-24,b2957
ansP,1.54285084365586,4.84432249049864,20.3070672796376,6.59565104974841e-06,5.57468040780106e-05,b1453
apaG,0.018853018903738,6.18633288008315,0.00946000886060894,0.922517874379122,0.977276109748204,b0050
apaH,0.00327389514098493,6.2403084620689,0.000279719532061407,0.986656148148772,1,b0049
aphA,-0.640834279745952,4.23904894544502,4.12833684908145,0.042170776784067,0.149536605033157,b4055
appA,-1.28679093302402,7.82041133242853,26.3742204892911,2.81269581139493e-07,2.805550394784e-06,b0980
appB,-1.29099699045429,7.980182375115,18.6549168631499,1.5664278985423e-05,0.000122561632134134,b0979
appC,-1.58073359471381,8.71310454619723,39.8379877207684,2.75925963799179e-10,3.77127923306536e-09,b0978
appY,-3.96550526462483,5.7750868743332,335.11891024982,7.37746961435156e-75,1.5172995840183e-72,b0564
apt,0.0712670783963278,7.70178396495028,0.107736525473751,0.742735932331326,0.890163821390846,b0469
aqpZ,-0.102255015535817,3.31813779983206,0.124867226797761,0.723814393368825,0.883483933081545,b0875
araA,-0.532194874296667,3.56926403587442,2.45973805735978,0.116798258404807,0.305209451394311,b0062
araB,0.0532245893993597,3.17799142833902,0.0235463080474565,0.878044944836073,0.959863184229553,b0063
araC,-0.237482283328299,5.2934606521212,1.26923791491198,0.259909695227926,0.519218304204168,b0064
araD,-0.633007365230272,1.92111176524755,1.17395742315937,0.278589586201044,0.542239036864492,b0061
araE,-0.0982177477738753,4.45380764451889,0.246818715398329,0.619324079479307,0.829414170316628,b2841
araF,0.36638574808351,2.99692483125644,0.757516932513266,0.384106711049359,0.645006564938639,b1901
araG,-0.290888864410042,4.21492460786346,0.913668181737045,0.339143011883959,0.603787884466254,b1900
araH,-0.114127925765894,4.82773320680399,0.357105777915264,0.550118022575466,0.783111318227897,b4460
araJ,-0.0735115411232388,4.52296174198568,0.158509928884484,0.690532110296551,0.86748347422071,b0396
arcA,0.333136608878503,9.48009125864464,2.55280918425434,0.110098339094763,0.295902132265267,b4401
arcB,-0.212069702957017,7.76386376476388,1.22230489549718,0.26890878921547,0.531575219968319,b3210
argA,1.59564300600604,8.84731571562857,5.30710644958162,0.0212386027793593,0.0869474174445999,b2818
argB,1.32747069299791,8.10634623791564,3.35962229587982,0.0668133910105989,0.209866935108928,b3959
argC,1.43727839738082,8.68606967760329,4.1029986844594,0.0428072263498485,0.15117286230989,b3958
argD,0.670964911681105,8.83750519302907,1.03942253968224,0.307955811929438,0.571995622300236,b3359
argE,1.06591295687176,7.74815879780907,3.49501317394277,0.0615539184399488,0.198100874621564,b3957
argF,2.05308969072337,9.15970449114891,6.89041244413595,0.00866592711230987,0.0416330803093063,b0273
argG,1.012260972541,10.4764584863486,2.46142288711906,0.116673048388197,0.305209451394311,b3172
argH,1.20242632645551,9.27898878738598,3.05671158974064,0.0804042386260558,0.241324466036091,b3960
argI,2.00839662707192,8.45100609191092,6.55010061423897,0.0104878228047365,0.0487063512835022,b4254
argK,-0.265093184674861,2.53304377027631,0.612511961654501,0.4338435768433,0.695041668767707,b2918
argO,-0.0255008356120159,4.11644196601902,0.0179070753824272,0.89354703025947,0.966652298191436,b2923
argP,-0.349150672083897,6.8179712553158,4.22918102339796,0.0397346091118365,0.142452121827959,b2916
argR,-0.187098275133344,6.53787553413616,0.682034718366843,0.408886955547442,0.671244565999475,b3237
argS,0.419932253127419,8.48259125658305,2.65822661485397,0.103015530214112,0.282670949806067,b1876
argT,3.99371224644461,6.43058104315378,294.174618667991,6.12303420724545e-66,8.0137529518464e-64,b2310
arnT,-0.0172175383531431,3.73856187652138,0.00500387147990855,0.943606238491656,0.988703382834901,b2257
aroA,-0.58333010871055,8.72707817409853,8.48377275570292,0.00358328219957587,0.0190125255773565,b0908
aroB,0.0478032232837989,8.58462769761097,0.045515035106618,0.83105980290622,0.937857920406042,b3389
aroC,0.23389267219598,8.47999724227867,1.50286363404709,0.220231270263333,0.467639555686989,b2329
aroD,-0.0130930781975289,5.62708270372101,0.00362115450407963,0.952015436944994,0.993417412941635,b1693
aroE,0.26595305819287,6.44134790384996,2.38173574759448,0.122761079146861,0.314661780911153,b3281
aroF,0.466750166178209,9.3559418808554,2.56955402148352,0.108938440212971,0.294249608054924,b2601
aroG,-0.15123923727535,9.17316465670871,0.644806583250254,0.421975604342229,0.684383265172394,b0754
aroH,-0.458152395945159,7.14395495941636,5.77111928707355,0.0162916549031328,0.0703636575266305,b1704
aroK,0.0558571054739778,8.19728540947265,0.0685016251189907,0.793531035357344,0.921669020904375,b3390
aroL,-0.331350568298227,8.13483265705703,2.35773906156978,0.124662750565845,0.318681053486806,b0388
aroM,-0.0112377743784348,5.11482133823197,0.00276762752625981,0.958044046871632,0.994324555796806,b0390
aroP,0.771421526593604,7.11806442764529,20.0520116915007,7.53642123185427e-06,6.24756301350836e-05,b0112
arpA,0.976771563905552,4.36532819355833,16.3012094706006,5.40294552234615e-05,0.000391532243473373,b4017
arsB,0.260334005362471,3.56035357470333,1.36535521802738,0.242611527382,0.49662337726032,b3502
arsC,-0.150906132969189,3.21022621498493,0.300961923537538,0.58328000865642,0.804828274059321,b3503
arsR,-1.16832934491804,1.92105835255697,5.70934482292016,0.0168748362505034,0.0724477313776584,b3501
artI,0.249815274368915,8.86568505410021,0.314040520589487,0.575211279784465,0.799079291537184,b0863
artJ,0.665293127222568,9.37332668865445,1.03950375831619,0.307936912676255,0.571995622300236,b0860
artM,0.327804426617517,7.03664711526659,0.669596597812371,0.413192286739398,0.675365963451914,b0861
artP,0.515266003525952,8.37665086820815,1.25152123854287,0.26326212776023,0.524436336425518,b0864
artQ,0.434770792077642,7.06969778144866,1.07878209064515,0.298970170447334,0.566141320976238,b0862
ascB,-0.248610220890646,4.63676824219975,1.73803864665139,0.18738753517357,0.418906192761206,b2716
ascF,-0.330473624062133,3.74473463417381,1.30432853161329,0.253424078692854,0.510274403671067,b2715
ascG,-0.170844005478234,4.14192580809701,0.741400473178253,0.389212625647634,0.650452371520014,b2714
asd,-0.622725627782954,10.1684289366199,8.8484389107129,0.00293339676595901,0.0159362775247509,b3433
aslA,-0.435043778459636,4.61516177967782,4.11456421786365,0.0425154771565956,0.150511758884702,b3801
aslB,0.113926796003546,2.63677995045536,0.0628601922069638,0.80203109967822,0.924365668987799,b3800
asmA,-0.21268606327347,7.27463803856825,1.42392586318207,0.232758304573963,0.484307015270027,b2064
asnA,-1.45475707162483,4.99104362533955,59.8907480669899,1.00271704456495e-14,1.69169332635782e-13,b3744
asnB,-0.544530493088825,7.30013477121276,9.4860056050604,0.00207045098282759,0.0116284496681825,b0674
asnC,-0.430235144350943,4.11047211366023,3.83893280438222,0.0500753844301155,0.169426378647583,b3743
asnS,0.254733168555388,9.48875512078054,1.62812624549547,0.20196241111597,0.439876779430094,b0930
aspA,-2.44999801618474,7.87952335646284,141.153856067457,1.48901552831372e-32,4.7637467161385e-31,b4139
aspC,-0.102546696360946,9.31721569924533,0.210522696250091,0.64635802821761,0.845844276460896,b0928
aspS,-0.215425434307164,9.32162872273333,1.21131338880768,0.271072164514303,0.534111299365856,b1866
asr,0.246564977195239,2.6115591099866,0.612045070339663,0.434018842478932,0.695041668767707,b1597
astA,3.2379453988831,4.14770587913966,152.817581782113,4.1989460058146e-35,1.49878080984407e-33,b1747
astB,1.13655069929185,3.86901107133697,20.6529624277128,5.50519414674016e-06,4.72702455661446e-05,b1745
astC,3.43431033427444,4.81581846932743,126.916776067244,1.93729532337426e-29,5.39817967848608e-28,b1748
astD,1.95883181850073,4.07667197309857,44.388931961603,2.69204783322102e-11,3.86277561185435e-10,b1746
astE,0.670987443572649,2.60559570685241,3.90646287744512,0.0481007339333009,0.165403718039751,b1744
atoA,-0.0722959701779081,1.40726619763587,0.0235992825041178,0.877908909311151,0.959863184229553,b2222
atoB,0.00806412259112586,2.74794769754383,0.000566379868198297,0.981013147737845,1,b2224
atoC,-0.12926474262814,4.04489323933225,0.31709873696799,0.573356436649055,0.79727187697594,b2220
atoD,-0.691101795444953,1.86698652801493,2.46113626445771,0.116694338603231,0.305209451394311,b2221
atoE,-0.342525523831631,2.52476726298433,0.580838820967933,0.445983717610543,0.705310756631248,b2223
atoS,-0.405526508104547,3.93115532506206,2.28566448756165,0.130574208786557,0.327736139783868,b2219
atpA,-0.103429184229406,11.4539463227589,0.182044733499751,0.669621885846707,0.856513475243181,b3734
atpB,-0.141550228994921,9.5811202475711,0.371598303893272,0.542134342019782,0.779453469768122,b3738
atpC,-0.116970173546031,9.13978950103538,0.352024664590559,0.552969248185186,0.784355167278971,b3731
atpD,-0.132422609782395,10.7314952818985,0.34990635604268,0.554166144425118,0.784992974015115,b3732
atpE,-0.0324594002378899,9.43828118969772,0.0199337509839665,0.887722266012605,0.964683992031009,b3737
atpF,-0.26299264868437,10.5501351774598,0.986923373640821,0.320495493198652,0.583192974793233,b3736
atpG,-0.251527059192533,10.2819031932726,0.945363232215641,0.330902361651051,0.594990549529928,b3733
atpH,-0.0625062247575572,9.54180902846113,0.0733979571898828,0.786452121144695,0.916289914006997,b3735
atpI,0.168165586883663,7.47540068913578,0.563089707627327,0.453018024283003,0.711310598683664,b3739
avtA,0.295880788706334,7.50273334014784,2.40706989208874,0.120788263137783,0.31147967202539,b3572
azoR,0.250428323195247,5.74765547543124,1.49260434745415,0.221812819911078,0.46971685821352,b1412
bacA,0.0640545800338376,5.65561835699179,0.127814249922947,0.72070915168383,0.881796834595598,b3057
baeR,-0.0894067843389516,5.92536816013032,0.219047924549296,0.639766311522044,0.843095532465861,b2079
baeS,-0.0888790053802969,3.96491101171185,0.192361124236013,0.66095869696301,0.852907263873093,b2078
barA,-0.190652146579163,6.17108721261472,1.09306556549296,0.295792975475877,0.563284771199432,b2786
basR,0.0140687165923693,4.49209464165627,0.00593295410238404,0.93860312256031,0.985135680523276,b4113
basS,0.392601977455959,5.19342728931833,3.30110667096098,0.0692332248942045,0.215434583983593,b4112
bax,0.224768327540752,8.2435746756472,0.984080840302941,0.321193384868133,0.583400886998246,b3570
bcp,-0.175319232289321,8.47456241657188,0.833140869317001,0.361365883457809,0.62429570026171,b2480
bcr,-0.202870326424136,6.63589960333256,1.40224586902622,0.236347900666902,0.488936027943138,b2182
bcsA,0.0135232728361947,3.92459341230244,0.00120042931626152,0.972361054153285,0.99942044795468,b3533
bcsB,0.113625105326238,3.93681754134528,0.144058223382019,0.70427946177017,0.875081414092452,b3532
bcsC,-0.0592623642500455,5.98139248313603,0.106967148459306,0.743623771145676,0.890163821390846,b3530
bcsC,-0.0592623642500455,5.98139248313603,0.106967148459306,0.743623771145676,0.890163821390846,b3531
bcsE,0.553353043344811,6.25789944321605,6.6911425864252,0.00968930854851986,0.0457856932396688,b3536
bcsF,0.748911386482655,2.75592441061776,4.26791326930662,0.0388385981065695,0.140019954275688,b3537
bcsG,0.896221800051837,4.9284349923144,20.8872867815436,4.87116868157737e-06,4.23311419230033e-05,b3538
bcsZ,-0.459207791283522,2.88481931586297,1.22865817790596,0.267668149296533,0.530261037434019,b3531
bdm,0.852565960504629,3.87648192416416,5.40577389843176,0.0200702480516883,0.0831314659169925,b1481
betA,4.31566145607155,7.92615975694043,300.314655918276,2.81331629528351e-67,3.79709783729046e-65,b0311
betB,4.17314104167796,8.83967880874997,322.400022336097,4.3464072747391e-72,6.70433322128506e-70,b0312
betI,4.30814464950053,8.12182610283651,262.915300180662,3.97249785458099e-59,4.08505196046079e-57,b0313
betT,4.81817103350421,8.35798175649976,361.416099481069,1.3843121492655e-80,5.97884417267768e-78,b0314
bfd,4.76792096460619,4.50331447988496,208.950732832465,2.32695952189955e-47,1.29821709734232e-45,b3337
bfr,-0.102680872782728,7.43651755121916,0.174519458836095,0.676126063656234,0.859780868202867,b3336
bglA,0.061029765444415,7.74424883924989,0.100625121820022,0.751080749215485,0.89314916185619,b2901
bglB,0,-0.993440807423094,0,1,1,b3721
bglF,0,-0.993440807423094,0,1,1,b3722
bglG,-0.292697942805805,0.652755788800327,0.172619699829844,0.677794015268609,0.860521318567251,b3723
bglH,0,-0.993440807423094,0,1,1,b3720
bglJ,4.05226899613039,4.5962568971503,238.150248016874,9.9549801081417e-54,7.54308054159018e-52,b4366
bglX,-0.196294281658091,7.47523661783809,1.07559753078994,0.299684510197935,0.566697635527531,b2132
bioA,0.775089919016467,6.19637370744682,13.6645990766522,0.000218535594549325,0.00143880370862581,b0774
bioB,0.827885402510735,6.72463866607065,14.585190655261,0.000133963214248657,0.000918264291245685,b3412
bioB,0.827885402510735,6.72463866607065,14.585190655261,0.000133963214248657,0.000918264291245685,b0775
bioC,0.643052362109974,5.39663009964263,9.02820313364004,0.00265845673148359,0.014534018510478,b0777
bioF,0.658252940469885,6.28277238539905,10.0837549094852,0.00149582202220382,0.00864853455675808,b0776
bioH,-0.0519692014956627,4.84956771958961,0.0674272856885074,0.795120152515581,0.922655545060396,b3412
bipA,0.341273244067458,10.1344626937263,2.09214513011865,0.14805804860594,0.356647731270769,b3871
birA,0.158834898080926,5.36734250871816,0.77908046964364,0.377422512443261,0.63774954273961,b3973
bisC,0.250242138513412,7.04686417222602,2.35162485614587,0.12515249744503,0.319238315419585,b3551
blc,0.686535426502123,4.90667207000953,8.63473715493643,0.00329812822018478,0.0176951748856871,b4149
blr,-1.22919991819516,3.74473501995637,26.5676854696099,2.54464565626439e-07,2.55588943939672e-06,b4409
bolA,0.665182105653164,6.83307852289246,6.17969667622877,0.0129224427700047,0.0581981546649115,b0435
borD,0.269688162085559,4.69525044164546,0.587298755544576,0.443465578283602,0.703905855423329,b0557
brnQ,-0.0871974921426773,8.21168027737881,0.208791152654641,0.647716540398605,0.845895840976476,b0401
btuB,-0.156724433460997,7.12417068736659,0.591659873551643,0.441777972778882,0.702001127458422,b3966
btuC,-0.00918554375749794,4.55302027067887,0.00216139990909747,0.96291902019815,0.995892540286353,b1711
btuD,0.0733144207082177,5.79441660044429,0.146594425078007,0.701811325905935,0.87411016303724,b1709
btuE,0.458941170815945,5.8555546946505,5.20039100925463,0.0225818079834649,0.090762881599801,b1710
btuF,0.0130113415564776,4.77471581484507,0.00302967017711708,0.95610465296491,0.994324555796806,b0158
btuR,-0.068691729964139,5.33405479373233,0.105123325675867,0.745765974214191,0.89141803497594,b1270
cadA,-0.287730087454477,3.72127359030368,1.66637489496209,0.196744791756893,0.434872444011269,b4131
cadB,-0.126210717948805,2.32563771094133,0.0476014523896087,0.827290760063416,0.936816744886178,b4132
cadC,-0.908098824284588,3.6220478422797,14.9241561899726,0.000111920684591983,0.000779142481153937,b4133
caiA,-0.463172700752946,4.89142730135127,5.30906510442387,0.021214737701545,0.0869321177732188,b0039
caiB,-0.432950829128106,4.09597146339141,4.26355345761791,0.0389383885274543,0.140262635571372,b0038
caiC,-0.466074494707954,4.62875538019104,6.54505002564057,0.010517637065896,0.0487923463884049,b0037
caiD,0.194678393542871,2.358760722561,0.283006202869267,0.594737580591182,0.814417124468395,b0036
caiE,-1.28287082314371,3.0598253031499,9.93340043918816,0.00162306416180665,0.00928197888896224,b0035
caiF,-3.37316730098921,6.15975173638588,194.507499736149,3.29989543918914e-44,1.65723818626254e-42,b0034
caiT,-0.309013932717217,2.4016204713654,0.372165006600589,0.541826512729567,0.779453469768122,b0040
can,1.58743971059393,8.54126069896598,69.7414567466097,6.76100572499221e-17,1.23732134433226e-15,b0126
carA,1.58538141287754,9.28046815060367,5.3812110251767,0.0203547440820078,0.0839657494653216,b0032
carB,1.42015885560742,10.0890019012502,4.82490207538255,0.0280514585984021,0.108316534097567,b0033
cbl,2.14481142760121,7.53797035763799,102.769022455224,3.76592374381837e-24,8.98620146384064e-23,b1987
cbpA,-0.94610269486439,9.08391442348551,23.8305790472276,1.05197902163417e-06,9.7499944086652e-06,b1000
cbpM,-0.537346029566905,6.43829414515596,7.42128099037432,0.00644569101940283,0.0323218167868327,b0999
cbrA,-0.474069592947953,2.33402170466541,1.01510779219651,0.313682272013786,0.577393284757779,b3690
cbrC,0,-0.993440807423094,0,1,1,b3717
cca,0.126092294620255,7.5595293119756,0.388574987965583,0.533049401124078,0.774904195036989,b3056
cchA,-0.378561138331808,1.65418414066709,0.525161154110819,0.468648345641773,0.723167475949159,b2457
cchB,-0.285620067134135,0.278842606745797,0.140897756461825,0.707390147095761,0.877180030234451,b2456
ccmA,-0.767561158654967,4.92758630011036,17.9421714416073,2.27719102033928e-05,0.000174074124191953,b2201
ccmB,-0.765845603839581,3.44605322899622,6.67243246949672,0.00979154615522546,0.0461174349448405,b2200
ccmC,-0.90968453150358,4.32357420956433,20.7623485818937,5.19952160420491e-06,4.50034745662545e-05,b2199
ccmD,-0.497685722246517,2.23792391606029,2.10186240655032,0.147119843998724,0.355176414885684,b2198
ccmE,-1.04789862806195,4.53339095013281,28.2154444558234,1.0853506606602e-07,1.1377741513086e-06,b2197
ccmF,-0.445015620332384,4.76771720481738,4.64881114843353,0.0310750620633768,0.117627688914745,b2196
ccmG,-0.493191141806783,3.18554891233859,2.72934803530224,0.0985194952129512,0.274166043701505,b2195
ccmH,-0.458591894632364,4.19270949087704,3.88108587515824,0.0488329640993448,0.167453470343905,b2194
cdaR,-0.284826167512711,3.8897277976037,1.84004991802656,0.174945096663384,0.400205440937053,b0162
cdd,0.580557184925811,6.27576315964579,6.0202247886661,0.0141428452339399,0.0626034336051043,b2143
cdh,0.651426476819591,5.00836709733214,10.2449893324925,0.00137056377025345,0.00795627005876968,b3918
cdsA,0.141754078988066,6.37170077067775,0.582817131712369,0.445210208966565,0.704847983024476,b0175
cedA,0.306207132819402,3.16033619883538,1.29152088613441,0.255767859809528,0.513080068052648,b1731
cfa,-0.273796683938703,10.5138350092826,1.90068051305661,0.168002167755218,0.389898636504452,b1661
chaA,1.92402278983127,5.56419359176624,91.9022005313599,9.1067695420323e-22,1.98647159858775e-20,b1216
chaB,0.398629578847461,4.84785026302475,3.47421638117049,0.0623322383164199,0.199712861490072,b1217
chaC,0.150118868470966,6.7474650670072,0.667811423400757,0.413815686567678,0.675461054529781,b1218
chbA,-0.455341897687565,2.37912957833565,1.24614366329788,0.264290296853662,0.525841056868377,b1736
chbB,0.0592284748611884,3.27553547180918,0.0549011508723569,0.814744364903106,0.9305345423879,b1738
chbC,0.0703493324421254,3.11790010980087,0.0467870096271263,0.828751531446032,0.936816744886178,b1737
